﻿﻿﻿﻿일시,시간대구분,자치구,총생활인구수,남자미성년자,남자청년,남자중년,남자노년,여자미성년자,여자청년,여자중년,여자노년
20200101,0,종로구,248283.0355,16364.452099999999,44472.457299999995,45532.720499999996,16612.8903,15688.119600000002,41430.1757,44086.6333,24095.5881
20200101,0,중구,187720.0184,9974.7048,34884.2379,36396.266,12104.1018,10411.732199999999,35622.6214,32178.118599999998,16148.2321
20200101,0,용산구,292640.2683,17702.6943,57483.44560000001,51369.40319999999,16887.6457,17727.7391,57354.36809999999,48987.62179999999,25127.3452
20200101,0,성동구,333267.7444,25119.0375,53483.6949,60856.9619,20441.8049,24212.1535,56456.3305,61645.79379999999,31051.9712
20200101,0,광진구,390059.2798,30516.9562,66547.09909999999,67576.3421,21914.9762,30143.8768,70191.0098,71420.275,31748.737800000003
20200101,0,동대문구,356884.1303,24326.616199999997,56982.4133,64258.2427,26093.1518,23888.6414,58247.4402,64244.4806,38843.1474
20200101,0,중랑구,384600.682,27494.737800000003,53778.4948,74254.4904,28559.2534,26558.4677,54475.136699999995,77848.76079999999,41631.3367
20200101,0,성북구,442601.5936,38147.4486,60978.5976,78154.8576,30340.393,35998.8567,67087.73240000001,84307.6229,47586.0828
20200101,0,강북구,332320.645,24326.9486,43547.3557,60845.388,27823.3278,22249.197,44925.7565,66061.8914,42540.7794
20200101,0,도봉구,293905.0618,22237.4712,36573.5696,55464.33679999999,24087.2887,20544.2926,37651.3293,61706.39800000001,35640.3749
20200101,0,노원구,560132.4978,53515.2064,70391.2591,102256.9883,37104.6897,49409.389599999995,73338.7304,115811.01759999999,58305.2195
20200101,0,은평구,479099.2157,39715.2945,63244.216400000005,86928.247,33889.159,36592.7307,68461.7489,96821.3241,53446.4989
20200101,0,서대문구,356430.1505,26012.876800000002,55078.500700000004,62234.3634,22876.1908,25743.4044,62769.58959999999,65711.11069999999,36004.1121
20200101,0,마포구,463915.7799,34785.1864,83913.84030000001,75326.9747,23548.0277,36758.808099999995,95395.06420000001,78615.6251,35572.2585
20200101,0,양천구,421693.2662,43654.2589,50128.8906,80706.5941,26720.345699999998,39914.9639,54439.1717,87164.451,38964.587100000004
20200101,0,강서구,554142.1934,43149.74189999999,85974.2372,98149.313,36603.6383,42428.4208,91054.5041,104759.67820000001,52022.6664
20200101,0,구로구,394999.3101,29792.9381,58273.1554,77507.2236,27280.949999999997,29989.788099999998,58806.712999999996,76409.8254,36938.717300000004
20200101,0,금천구,201681.6572,12933.3441,34077.155,40696.512800000004,13981.1852,11928.804600000001,30177.7181,39514.913,18372.0222
20200101,0,영등포구,429013.1441,28982.9385,72574.1479,80188.59700000001,27548.735200000003,28394.1621,75277.73730000001,77704.9982,38341.8283
20200101,0,동작구,413812.1418,28873.747799999997,69975.3191,70198.7103,28119.2904,29158.4727,69575.54,76198.8692,41712.1935
